Country,Year,HIV/AIDS
United States,2007,12444
United States,2008,11400
United States,2009,10551
United States,2010,9143
United States,2011,8428
United States,2012,7973
United States,2013,7682
United States,2014,7413
United States,2015,7089
United States,2016,7430
United States,1990,27789
United States,1991,32425
United States,1992,36485
United States,1993,40523
United States,1994,44959
United States,1995,45213
United States,1996,33684
United States,1997,19425
United States,1998,15921
United States,1999,17187
United States,2000,16072
United States,2001,15493
United States,2002,15477
United States,2003,15100
United States,2004,14416
United States,2005,13839
United States,2006,13265
United States,2017,7338
United States,2018,7200
United States,2019,7053
