Country,Year,HIV/AIDS
Uruguay,1990,46
Uruguay,1991,50
Uruguay,1992,59
Uruguay,1993,81
Uruguay,1994,90
Uruguay,1995,85
Uruguay,1996,113
Uruguay,1997,95
Uruguay,1998,112
Uruguay,1999,120
Uruguay,2000,139
Uruguay,2001,151
Uruguay,2002,155
Uruguay,2003,166
Uruguay,2004,161
Uruguay,2005,180
Uruguay,2006,148
Uruguay,2007,174
Uruguay,2008,186
Uruguay,2009,189
Uruguay,2010,196
Uruguay,2011,197
Uruguay,2012,197
Uruguay,2013,179
Uruguay,2014,185
Uruguay,2015,183
Uruguay,2016,186
Uruguay,2017,184
Uruguay,2018,181
Uruguay,2019,177
