Country,Year,HIV/AIDS
Uzbekistan,1990,133
Uzbekistan,1991,119
Uzbekistan,1992,133
Uzbekistan,1993,150
Uzbekistan,1994,178
Uzbekistan,1995,216
Uzbekistan,1996,235
Uzbekistan,1997,279
Uzbekistan,1998,322
Uzbekistan,1999,383
Uzbekistan,2000,406
Uzbekistan,2001,431
Uzbekistan,2002,436
Uzbekistan,2003,424
Uzbekistan,2004,383
Uzbekistan,2005,393
Uzbekistan,2006,464
Uzbekistan,2007,487
Uzbekistan,2008,508
Uzbekistan,2009,510
Uzbekistan,2010,544
Uzbekistan,2011,558
Uzbekistan,2012,557
Uzbekistan,2013,523
Uzbekistan,2014,595
Uzbekistan,2015,593
Uzbekistan,2016,587
Uzbekistan,2017,589
Uzbekistan,2018,588
Uzbekistan,2019,585
