Country,Year,HIV/AIDS
Venezuela,1990,655
Venezuela,1991,598
Venezuela,1992,786
Venezuela,1993,907
Venezuela,1994,1089
Venezuela,1995,942
Venezuela,1996,1025
Venezuela,1997,1233
Venezuela,1998,1278
Venezuela,1999,1397
Venezuela,2000,1408
Venezuela,2001,1287
Venezuela,2002,1299
Venezuela,2003,1372
Venezuela,2004,1542
Venezuela,2005,1585
Venezuela,2006,1663
Venezuela,2007,1738
Venezuela,2008,1739
Venezuela,2009,1861
Venezuela,2010,1941
Venezuela,2011,2234
Venezuela,2012,2251
Venezuela,2013,2165
Venezuela,2014,2182
Venezuela,2015,2155
Venezuela,2016,2070
Venezuela,2017,1956
Venezuela,2018,1882
Venezuela,2019,1850
