Country,Year,HIV/AIDS
Zambia,1990,12705
Zambia,1991,17443
Zambia,1992,22862
Zambia,1993,28690
Zambia,1994,34628
Zambia,1995,40377
Zambia,1996,45656
Zambia,1997,50296
Zambia,1998,54273
Zambia,1999,57575
Zambia,2000,60302
Zambia,2001,62458
Zambia,2002,63913
Zambia,2003,63393
Zambia,2004,61380
Zambia,2005,59143
Zambia,2006,55703
Zambia,2007,48742
Zambia,2008,39812
Zambia,2009,34047
Zambia,2010,31937
Zambia,2011,30107
Zambia,2012,27836
Zambia,2013,26035
Zambia,2014,25339
Zambia,2015,25110
Zambia,2016,24776
Zambia,2017,24788
Zambia,2018,23697
Zambia,2019,22540
